Column9,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
1,50410,AYACUCHO,HUANTA,UCHURACCAY,3672,"73,3","89,3",1
10,60304,CAJAMARCA,CELENDÍN,HUASMIN,10885,"68,6","83,7",2
100,20903,ÁNCASH,CORONGO,BAMBAS,481,"46,9",77,5
1000,130108,LA LIBERTAD,TRUJILLO,POROTO,3924,"22,7","41,5",11
1001,130205,LA LIBERTAD,ASCOPE,PAIJÁN,28894,"26,2","38,1",11
1002,50706,AYACUCHO,PARINACOCHAS,PUYUSCA,2123,"18,4","45,8",11
1003,50408,AYACUCHO,HUANTA,LLOCHEGUA,11466,"23,8","40,4",11
1004,30406,APURÍMAC,AYMARAES,COTARUSE,2491,22,"42,2",11
1005,30412,APURÍMAC,AYMARAES,SAÑAYCA,1118,22,"42,2",11
1006,30302,APURÍMAC,ANTABAMBA,EL ORO,595,22,"42,1",11
1007,30304,APURÍMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,1738,22,"42,1",11
1008,151032,LIMA,YAUYOS,VIÑAC,1624,"19,6","44,5",11
1009,20110,ÁNCASH,HUARAZ,PARIACOTO,5235,"20,4","43,6",11
101,60417,CAJAMARCA,CHOTA,TACABAMBA,16668,54,"69,4",5
1010,30415,APURÍMAC,AYMARAES,TINTAY,2255,"21,1","42,9",11
1011,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,1456,"20,2","43,7",11
1012,250401,UCAYALI,PURÚS,PURÚS,3284,"20,9",43,11
1013,50507,AYACUCHO,LA MAR,SANTA ROSA,12686,"21,4","42,5",11
1014,20304,ÁNCASH,ANTONIO RAYMONDI,CHINGAS,1946,"21,3","42,4",11
1015,200105,PIURA,PIURA,CATACAOS,80950,"23,2","40,6",11
1016,200107,PIURA,PIURA,CURA MORI,20065,"23,2","40,6",11
1017,200110,PIURA,PIURA,LA UNIÓN,44355,"23,2","40,6",11
1018,130110,LA LIBERTAD,TRUJILLO,SIMBAL,4515,"24,4","39,3",11
1019,250201,UCAYALI,ATALAYA,RAYMONDI,39732,25,"38,7",11
102,81006,CUSCO,PARURO,OMACHA,5842,"47,2","75,7",5
1020,250202,UCAYALI,ATALAYA,SEPAHUA,8264,25,"38,7",11
1021,120104,JUNÍN,HUANCAYO,CARHUACALLANGA,468,"24,3","39,3",11
1022,120105,JUNÍN,HUANCAYO,CHACAPAMPA,941,"24,3","39,3",11
1023,120106,JUNÍN,HUANCAYO,CHICCHE,687,"24,3","39,3",11
1024,120111,JUNÍN,HUANCAYO,CHUPURO,2095,"24,3","39,3",11
1025,120116,JUNÍN,HUANCAYO,HUACRAPUQUIO,1415,"24,3","39,3",11
1026,120120,JUNÍN,HUANCAYO,HUASICANCHA,840,"24,3","39,3",11
1027,120124,JUNÍN,HUANCAYO,PARIAHUANCA,5201,"24,3","39,3",11
1028,80608,CUSCO,CANCHIS,TINTA,5474,"19,2","44,4",11
1029,210705,PUNO,LAMPA,OCUVIRI,2376,"20,5",43,11
103,200202,PIURA,AYABACA,FRÍAS,21370,"49,3","73,5",5
1030,210707,PUNO,LAMPA,PARATIA,2510,"20,5",43,11
1031,160201,LORETO,ALTO AMAZONAS,YURIMAGUAS,104052,"27,6","35,9",11
1032,21301,ÁNCASH,MARISCAL LUZURIAG,PISCOBAMBA,3122,"22,9","40,4",12
1033,211205,PUNO,SANDIA,PHARA,6145,"16,5","46,8",12
1034,211208,PUNO,SANDIA,YANAHUAYA,2127,"16,5","46,8",12
1035,30306,APURÍMAC,ANTABAMBA,PACHACONAS,1079,"19,7","43,5",12
1036,10608,AMAZONAS,RODRIGUEZ DE MEND,MILPUC,419,"21,3","41,9",12
1037,220305,SAN MARTÍN,EL DORADO,SHATOJA,3225,"17,5","45,7",12
1038,50107,AYACUCHO,HUAMANGA,PACAYCASA,3565,"18,9","44,2",12
1039,230206,TACNA,CANDARAVE,QUILAHUANI,685,"22,2","40,8",12
104,81205,CUSCO,QUISPICANCHI,CCATCA,15084,"48,6","74,1",5
1040,220802,SAN MARTÍN,RIOJA,AWAJUN,7955,"17,8","44,9",12
1041,120302,JUNÍN,CHANCHAMAYO,PERENÉ,60225,"22,8","39,7",12
1042,90404,HUANCAVELICA,CASTROVIRREYNA,CAPILLAS,915,"19,6","42,7",12
1043,30104,APURÍMAC,ABANCAY,CURAHUASI,17064,"20,3",42,12
1044,81106,CUSCO,PAUCARTAMBO,KOSÑIPATA,4892,"18,4","43,5",12
1045,10501,AMAZONAS,LUYA,LAMUD,2375,"23,7","38,2",12
1046,120204,JUNÍN,CONCEPCIÓN,CHAMBARÁ,2675,"21,9","39,9",12
1047,120206,JUNÍN,CONCEPCIÓN,COMAS,5369,"21,9","39,9",12
1048,120207,JUNÍN,CONCEPCIÓN,HEROÍNAS TOLEDO,949,"21,9","39,9",12
1049,220806,SAN MARTÍN,RIOJA,POSIC,2094,"19,6","42,2",12
105,61302,CAJAMARCA,SANTA CRUZ,ANDABAMBA,1311,51,"71,4",5
1050,220808,SAN MARTÍN,RIOJA,YORONGOS,2573,"19,6","42,2",12
1051,220508,SAN MARTÍN,LAMAS,SAN ROQUE DE CUMBAZA,1715,19,"42,7",12
1052,220509,SAN MARTÍN,LAMAS,SHANAO,1920,19,"42,7",12
1053,100107,HUÁNUCO,HUÁNUCO,SAN FRANCISCO DE CAYRÁ,4847,"21,2","40,5",12
1054,100113,HUÁNUCO,HUÁNUCO,SAN PABLO DE PILLAO,8205,"21,2","40,5",12
1055,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,911,"21,4","39,8",12
1056,80910,CUSCO,LA CONVENCIÓN,PICHARI,27234,20,"41,3",12
1057,131201,LA LIBERTAD,VIRÚ,VIRÚ,58418,"22,7","38,4",12
1058,120303,JUNÍN,CHANCHAMAYO,PICHANAQUI,42869,"21,6","39,6",12
1059,200401,PIURA,MORROPON,CHULUCANAS,89735,"21,2","39,9",12
106,210107,PUNO,PUNO,COATA,6898,"45,6","76,7",5
1060,200402,PIURA,MORROPON,BUENOS AIRES,10211,"21,2","39,9",12
1061,200405,PIURA,MORROPON,MORROPON,16052,"21,2","39,9",12
1062,120503,JUNÍN,JUNÍN,ONDORES,1075,"19,6","41,4",12
1063,130702,LA LIBERTAD,PACASMAYO,GUADALUPE,44119,"24,4","36,5",12
1064,21010,ÁNCASH,HUARI,PAUCAS,1565,"20,7","40,2",12
1065,21012,ÁNCASH,HUARI,RAHUAPAMPA,751,"20,7","40,2",12
1066,22003,ÁNCASH,YUNGAY,MANCOS,6881,"19,3","41,6",12
1067,220304,SAN MARTÍN,EL DORADO,SANTA ROSA,7305,17,"43,9",12
1068,20401,ÁNCASH,ASUNCION,CHACAS,4787,"21,2","39,6",12
1069,230201,TACNA,CANDARAVE,CANDARAVE,2359,"21,8","38,9",12
107,160804,LORETO,PUTUMAYO,YAGUAS,1559,"49,4","72,4",5
1070,150301,LIMA,CAJATAMBO,CAJATAMBO,1956,"21,4","39,3",12
1071,150304,LIMA,CAJATAMBO,HUANCAPÓN,945,"21,4","39,3",12
1072,21204,ÁNCASH,HUAYLAS,HUAYLAS,1697,17,"43,7",12
1073,81306,CUSCO,URUBAMBA,OLLANTAYTAMBO,11808,"20,5","40,1",12
1074,81001,CUSCO,PARURO,PARURO,3474,"22,9","37,7",12
1075,81004,CUSCO,PARURO,COLCHA,948,"22,9","37,7",12
1076,81009,CUSCO,PARURO,YAURISQUE,1931,"22,9","37,7",12
1077,50809,AYACUCHO,PAUCAR DEL SARA SA,SAN JOSÉ DE USHUA,247,"18,8","41,8",12
1078,50810,AYACUCHO,PAUCAR DEL SARA SA,SARA SARA,483,"18,8","41,8",12
1079,10509,AMAZONAS,LUYA,LUYA,4118,"23,1","37,5",12
108,61004,CAJAMARCA,SAN MARCOS,GREGORIO PITA,5150,"52,3","69,4",5
1080,190112,PASCO,PASCO,VICCO,3802,20,"40,3",12
1081,30712,APURÍMAC,GRAU,VILCABAMBA,1324,19,"41,3",12
1082,30216,APURÍMAC,ANDAHUAYLAS,TALAVERA,19901,"20,2","40,1",12
1083,110203,ICA,CHINCHA,CHAVÍN,2658,"16,6","43,6",12
1084,150706,LIMA,HUAROCHIRI,CUENCA,466,"22,6","37,5",12
1085,150711,LIMA,HUAROCHIRI,LANGA,847,"22,6","37,5",12
1086,150713,LIMA,HUAROCHIRI,MARÍATANA,1411,"22,6","37,5",12
1087,150720,LIMA,HUAROCHIRI,SAN JUAN DE TANTARANC,346,"22,6","37,5",12
1088,190307,PASCO,OXAPAMPA,VILLA RICA,18610,"23,3","36,7",12
1089,180207,MOQUEGUA,GENERAL SÁNCHEZ CE,MATALAQUE,402,"15,9",44,12
109,50112,AYACUCHO,HUAMANGA,SOCOS,6846,"46,2","74,9",5
1090,81202,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,6938,"18,9","40,9",12
1091,80805,CUSCO,ESPINAR,PALLPATA,5111,17,"42,8",12
1092,80402,CUSCO,CALCA,COYA,3645,"17,1","42,6",12
1093,140306,LAMBAYEQUE,LAMBAYEQUE,MORROPE,56131,"18,1","41,5",12
1094,101002,HUÁNUCO,LAURICOCHA,BAÑOS,1606,"22,6","36,9",12
1095,101003,HUÁNUCO,LAURICOCHA,JIVIA,1035,"22,6","36,9",12
1096,101004,HUÁNUCO,LAURICOCHA,QUEROPALCA,924,"22,6","36,9",12
1097,101006,HUÁNUCO,LAURICOCHA,SAN FRANCISCO DE ASÍS,1152,"22,6","36,9",12
1098,50620,AYACUCHO,LUCANAS,SANTA ANA DE HUAYCAHU,850,"14,2","45,3",12
1099,10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUA,323,"18,9","40,5",12
11,60307,CAJAMARCA,CELENDÍN,MIGUEL IGLESIAS,3922,"68,2","83,4",2
110,60803,CAJAMARCA,JAEN,CHONTALI,10391,"51,8","69,2",5
1100,90401,HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,3172,"19,5","39,9",12
1101,80305,CUSCO,ANTA,HUAROCONDO,4634,"17,1","42,2",12
1102,250203,UCAYALI,ATALAYA,TAHUANIA,10618,"20,4","38,7",12
