Indice,Ubigeo,Departamento,Provincia,Distrito,Poblacion_proyectada2020,Intervalo_inferior,Intervalo_superior,Grupo_robusto,Ubicacion_pobreza_monetaria
1,50410,AYACUCHO,HUANTA,UCHURACCAY,3672,73.3,89.3,1,1
2,60308,CAJAMARCA,CELENDÍN,OXAMARCA,5824,74.6,87.4,1,2
3,60402,CAJAMARCA,CHOTA,ANGUIA,3216,71.7,85.7,1,3
4,50411,AYACUCHO,HUANTA,PUCACOLPA,2299,65.8,90.5,2,4
5,90722,HUANCAVELICA,TAYACAJA,PICHOS,1894,65.6,88.6,2,5
6,61007,CAJAMARCA,SAN MARCOS,JOSÉ SABOGAL,13137,69.8,84.2,2,6
7,60202,CAJAMARCA,CAJABAMBA,CACHACHI,25575,70.3,83.4,2,7
8,60809,CAJAMARCA,JAEN,SALLIQUE,7509,70.8,82.9,2,8
9,60604,CAJAMARCA,CUTERVO,CUJILLO,2569,66.2,87.1,2,9
10,60304,CAJAMARCA,CELENDÍN,HUASMIN,10885,68.6,83.7,2,10
11,60307,CAJAMARCA,CELENDÍN,MIGUEL IGLESIAS,3922,68.2,83.4,2,11
12,60602,CAJAMARCA,CUTERVO,CALLAYUC,9627,68.0,83.3,2,12
13,60105,CAJAMARCA,CAJAMARCA,ENCAÑADA,20052,67.5,82.3,2,13
14,60103,CAJAMARCA,CAJAMARCA,CHETILLA,3863,66.9,81.9,2,14
15,60104,CAJAMARCA,CAJAMARCA,COSPÁN,7159,66.7,80.5,2,15
16,60412,CAJAMARCA,CHOTA,MIRACOSTA,3300,65.1,82.2,2,16
17,60605,CAJAMARCA,CUTERVO,LA RAMADA,3977,65.8,80.8,2,17
18,50412,AYACUCHO,HUANTA,CHACA,2195,59.1,86.4,2,18
19,60303,CAJAMARCA,CELENDÍN,CORTEGANA,7343,64.8,79.7,3,19
20,60204,CAJAMARCA,CAJABAMBA,SITACOCHA,8042,65.0,79.5,3,20
21,190206,PASCO,DANIEL ALCIDES CARR,SANTA ANA DE TUSI,23986,62.9,81.4,3,21
22,61202,CAJAMARCA,SAN PABLO,SAN BERNARDINO,4578,65.1,78.9,3,22
23,60410,CAJAMARCA,CHOTA,LAJAS,11586,63.1,79.0,3,23
24,51011,AYACUCHO,VICTOR FAJARDO,SARHUA,2624,55.7,85.8,3,24
25,60106,CAJAMARCA,CAJAMARCA,JESÚS,16666,62.4,78.6,3,25
26,50511,AYACUCHO,LA MAR,ORONCOY,1071,56.0,84.7,3,26
27,60408,CAJAMARCA,CHOTA,CONCHAN,5944,62.3,78.2,3,27
28,61111,CAJAMARCA,SAN MIGUEL,SAN SILVESTRE DE COCHÁ,3711,61.5,78.7,3,28
29,60613,CAJAMARCA,CUTERVO,SANTO TOMAS,7603,62.9,77.2,3,29
30,61310,CAJAMARCA,SANTA CRUZ,UTICYACU,1255,60.8,79.2,3,30
31,130803,LA LIBERTAD,PATAZ,CHILLIA,13046,61.7,77.7,3,31
32,130806,LA LIBERTAD,PATAZ,HUAYO,3762,61.6,77.5,3,32
33,60409,CAJAMARCA,CHOTA,HUAMBOS,8584,62.2,76.8,3,33
34,60607,CAJAMARCA,CUTERVO,QUEROCOTILLO,13416,61.3,77.0,3,34
35,60404,CAJAMARCA,CHOTA,CHIGUIRIP,3628,60.3,77.9,3,35
36,61204,CAJAMARCA,SAN PABLO,TUMBADÉN,3678,60.0,77.8,3,36
37,60905,CAJAMARCA,SAN IGNACIO,NAMBALLE,9945,60.8,76.9,3,37
38,60805,CAJAMARCA,JAEN,HUABAL,8989,59.7,77.7,3,38
39,60312,CAJAMARCA,CELENDÍN,LA LIBERTAD DE PALLÁN,6884,60.7,76.7,3,39
40,60611,CAJAMARCA,CUTERVO,SANTA CRUZ,2671,60.4,76.7,3,40
41,61006,CAJAMARCA,SAN MARCOS,JOSÉ MANUEL QUIROZ,3627,60.3,76.8,3,41
42,21504,ÁNCASH,PALLASCA,HUACASCHUQUE,532,54.6,81.9,4,42
43,200204,PIURA,AYABACA,LAGUNAS,5816,56.0,80.0,4,43
44,60506,CAJAMARCA,CONTUMAZÁ,SANTA CRUZ DE TOLED,1047,59.6,76.4,4,44
45,210305,PUNO,CARABAYA,CORANI,4735,55.2,80.5,4,45
46,60111,CAJAMARCA,CAJAMARCA,NAMORA,10308,60.5,75.1,4,46
47,60504,CAJAMARCA,CONTUMAZÁ,GUZMANGO,2845,59.0,75.7,4,47
48,60810,CAJAMARCA,JAEN,SAN FELIPE,4740,59.8,74.8,4,48
49,200206,PIURA,AYABACA,PACAIPAMPA,23262,57.0,77.4,4,49
50,130902,LA LIBERTAD,SÁNCHEZ CARRIÓN,CHUGAY,19344,55.8,78.5,4,50
51,60612,CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPIL,5015,59.9,73.8,4,51
52,60311,CAJAMARCA,CELENDÍN,UTCO,1081,57.7,75.9,4,52
53,60403,CAJAMARCA,CHOTA,CHADIN,3632,57.9,75.4,4,53
54,60907,CAJAMARCA,SAN IGNACIO,TABACONAS,19954,58.1,74.8,4,54
55,60309,CAJAMARCA,CELENDÍN,SOROCHUCO,7514,57.1,75.3,4,55
56,61103,CAJAMARCA,SAN MIGUEL,CALQUIS,4281,57.3,75.2,4,56
57,90307,HUANCAVELICA,ANGARAES,HUANCA-HUANCA,1405,52.3,79.8,4,57
