Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
"061203
021304","CAJAMARCA
ÁNCASH","SAN PABLO
MARISCAL LUZURIAG","SAN LUIS
FIDEL OLIVAS ESCUDERO","922
1 993","55,7
51,3","73,5
77,8","4
4","70
71"
100101,HUÁNUCO,HUÁNUCO,HUANUCO,95540,"10,3","15,9",17,1653
100102,HUÁNUCO,HUÁNUCO,AMARILIS,88635,"10,5","17,3",17,1628
100103,HUÁNUCO,HUÁNUCO,CHINCHAO,13159,32,"50,5",9,666
100104,HUÁNUCO,HUÁNUCO,CHURUBAMBA,15364,"33,2","58,6",8,498
100105,HUÁNUCO,HUÁNUCO,MARGOS,4120,"31,3","54,7",9,605
100106,HUÁNUCO,HUÁNUCO,QUISQUI,3279,"31,3","54,7",9,606
100107,HUÁNUCO,HUÁNUCO,SAN FRANCISCO DE CAYRÁ,4847,"21,2","40,5",12,1053
100108,HUÁNUCO,HUÁNUCO,SAN PEDRO DE CHAULAN,2748,"38,3","66,2",7,289
100109,HUÁNUCO,HUÁNUCO,SANTA MARÍA DEL VALLE,21872,"33,1",56,8,556
100110,HUÁNUCO,HUÁNUCO,YARUMAYO,1584,"32,5","60,8",8,472
100111,HUÁNUCO,HUÁNUCO,PILLCO MARCA,51354,"6,7","14,5",19,1718
100112,HUÁNUCO,HUÁNUCO,YACUS,5092,31,"68,7",7,366
100113,HUÁNUCO,HUÁNUCO,SAN PABLO DE PILLAO,8205,"21,2","40,5",12,1054
100201,HUÁNUCO,AMBO,AMBO,23267,"15,4","35,6",14,1236
100202,HUÁNUCO,AMBO,CAYNA,2391,"29,2","57,8",8,591
100203,HUÁNUCO,AMBO,COLPAS,1629,"41,3","72,8",6,161
100204,HUÁNUCO,AMBO,CONCHAMARCA,4411,"29,2","57,8",8,592
100205,HUÁNUCO,AMBO,HUACAR,8053,"25,2","48,8",10,836
100206,HUÁNUCO,AMBO,SAN FRANCISCO,1374,"26,5","49,8",10,791
100207,HUÁNUCO,AMBO,SAN RAFAEL,8772,"28,1","55,4",9,647
100208,HUÁNUCO,AMBO,TOMAY KICHWA,3350,"14,1",39,13,1200
100301,HUÁNUCO,DOS DE MAYO,LA UNIÓN,7093,"18,1","36,2",12,1185
100307,HUÁNUCO,DOS DE MAYO,CHUQUIS,3123,"32,6","56,6",8,552
100311,HUÁNUCO,DOS DE MAYO,MARÍAS,5547,"41,6","66,7",6,221
100313,HUÁNUCO,DOS DE MAYO,PACHAS,4821,"25,8","46,1",10,882
100316,HUÁNUCO,DOS DE MAYO,QUIVILLA,1094,"25,8","46,1",10,883
100317,HUÁNUCO,DOS DE MAYO,RIPAN,5324,"25,7","50,4",10,798
100321,HUÁNUCO,DOS DE MAYO,SHUNQUI,1567,"26,5","49,6",10,799
100322,HUÁNUCO,DOS DE MAYO,SILLAPATA,1662,"30,5","61,4",8,495
100323,HUÁNUCO,DOS DE MAYO,YANAS,2196,"26,5","49,6",10,800
100401,HUÁNUCO,HUACAYBAMBA,HUACAYBAMBA,5809,"32,8","61,1",8,462
100402,HUÁNUCO,HUACAYBAMBA,CANCHABAMBA,2725,"45,6","81,7",4,84
100403,HUÁNUCO,HUACAYBAMBA,COCHABAMBA,1454,"28,4","63,9",8,487
100404,HUÁNUCO,HUACAYBAMBA,PINRA,6384,"42,3","69,5",6,178
100501,HUÁNUCO,HUAMALIES,LLATA,13718,"22,7","46,7",11,920
100502,HUÁNUCO,HUAMALIES,ARANCAY,1316,"30,8","58,3",8,557
100503,HUÁNUCO,HUAMALIES,CHAVÍN DE PARIARCA,3866,18,48,11,980
100504,HUÁNUCO,HUAMALIES,JACAS GRANDE,5906,"35,9","74,3",6,198
100505,HUÁNUCO,HUAMALIES,JIRCAN,1249,"38,5","65,5",7,297
100506,HUÁNUCO,HUAMALIES,MIRAFLORES,3124,"37,6","69,8",6,239
100507,HUÁNUCO,HUAMALIES,MONZÓN,12077,"15,6","39,1",12,1179
100508,HUÁNUCO,HUAMALIES,PUNCHAO,1976,"25,2","54,7",9,715
100509,HUÁNUCO,HUAMALIES,PUÑOS,4146,31,"66,5",7,399
100510,HUÁNUCO,HUAMALIES,SINGA,3039,"33,6",58,8,501
100511,HUÁNUCO,HUAMALIES,TANTAMAYO,1678,"33,6",58,8,502
100601,HUÁNUCO,LEONCIO PRADO,RUPA-RUPA,58126,10,"17,1",17,1637
100602,HUÁNUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,6880,"19,7","38,3",12,1127
100603,HUÁNUCO,LEONCIO PRADO,HERMILIO VALDIZÁN,3691,"19,7","38,3",12,1128
100604,HUÁNUCO,LEONCIO PRADO,JOSÉ CRESPO Y CASTILLO,23817,"13,5","24,7",15,1460
100605,HUÁNUCO,LEONCIO PRADO,LUYANDO,9485,"3,3","17,1",19,1728
