Distrito,MUERTES,Indice,Ubigeo,Departamento_x,Provincia_x,Poblacion_proyectada2020,Intervalo_inferior,Intervalo_superior,Grupo_robusto,Ubicacion_pobreza_monetaria,Departamento_y,Provincia_y,Total hogares,Total Cifras absolutas,Cifras absolutas 1 NBI,Cifras absolutas 2 NBI,Cifras absolutas 3 NBI,Cifras absolutas 4 NBI,Cifras absolutas 5 NBI,TOTAL,conteo
ACCHA,9,511,81002,CUSCO,PARURO,3125,32.0,59.0,8,511,CUSCO,PARURO,998,217,175,36,6,0,0,217,1
ACOMAYO,12,644,80201,CUSCO,ACOMAYO,4616,30.1,54.0,9,644,CUSCO,ACOMAYO,1291,315,242,58,15,0,0,315,1
ACOPIA,7,896,80202,CUSCO,ACOMAYO,3048,24.7,46.1,10,896,CUSCO,ACOMAYO,809,203,175,26,2,0,0,203,1
ACOS,4,872,80203,CUSCO,ACOMAYO,2350,24.7,47.6,10,872,CUSCO,ACOMAYO,717,153,126,24,3,0,0,153,1
ALTO PICHIGUA,1,938,80808,CUSCO,ESPINAR,1981,23.8,44.8,11,938,CUSCO,ESPINAR,733,167,137,28,2,0,0,167,1
ANCAHUASI,17,876,80302,CUSCO,ANTA,7784,21.5,50.7,10,876,CUSCO,ANTA,2034,604,517,77,8,2,0,604,1
ANDAHUAYLILLAS,19,1090,81202,CUSCO,QUISPICANCHI,6938,18.9,40.9,12,1090,CUSCO,QUISPICANCHI,1598,460,392,57,11,0,0,460,1
ANTA,87,1232,80301,CUSCO,ANTA,25464,15.8,35.5,14,1232,CUSCO,ANTA,6240,1376,1202,154,19,1,0,1376,1
CACHIMAYO,17,1708,80303,CUSCO,ANTA,2742,5.0,16.9,19,1708,CUSCO,ANTA,661,103,94,6,3,0,0,103,1
CAICAY,9,374,81102,CUSCO,PAUCARTAMBO,3050,37.0,62.2,7,374,CUSCO,PAUCARTAMBO,732,285,204,68,13,0,0,285,1
CALCA,45,1298,80401,CUSCO,CALCA,23423,15.8,32.5,14,1298,CUSCO,CALCA,5975,1261,964,242,37,16,2,1261,1
CAMANTI,7,1587,81203,CUSCO,QUISPICANCHI,2603,6.5,23.7,16,1587,CUSCO,QUISPICANCHI,596,252,176,63,9,4,0,252,1
CAPACMARCA,8,527,80702,CUSCO,CHUMBIVILCAS,4119,30.3,60.1,8,527,CUSCO,CHUMBIVILCAS,1263,365,307,51,7,0,0,365,1
CCAPI,3,752,81003,CUSCO,PARURO,3121,28.6,49.7,10,752,CUSCO,PARURO,997,317,282,30,4,1,0,317,1
CCARHUAYO,13,311,81204,CUSCO,QUISPICANCHI,3156,38.4,65.0,7,311,CUSCO,QUISPICANCHI,810,389,290,80,19,0,0,389,1
CCATCA,35,104,81205,CUSCO,QUISPICANCHI,15084,48.6,74.1,5,104,CUSCO,QUISPICANCHI,3561,1497,1161,278,52,6,0,1497,1
CCORCA,6,741,80102,CUSCO,CUSCO,2405,24.6,54.2,10,741,CUSCO,CUSCO,739,191,157,31,3,0,0,191,1
CHALLABAMBA,10,314,81103,CUSCO,PAUCARTAMBO,9421,37.5,65.8,7,314,CUSCO,PAUCARTAMBO,2519,1306,817,391,75,21,2,1306,1
CHAMACA,7,391,80703,CUSCO,CHUMBIVILCAS,6503,35.4,62.5,7,391,CUSCO,CHUMBIVILCAS,2041,570,503,61,5,1,0,570,1
CHECACUPE,14,699,80602,CUSCO,CANCHIS,5217,26.8,53.8,9,699,CUSCO,CANCHIS,1544,498,365,119,11,3,0,498,1
CHECCA,4,179,80502,CUSCO,CANAS,5485,42.3,69.4,6,179,CUSCO,CANAS,1737,770,676,82,12,0,0,770,1
