Departamento_inb;Provincia_inb;Distrito_inb;Total hogares;Total Cifras absolutas;Cifras absolutas 1 NBI;Cifras absolutas 2 NBI;Cifras absolutas 3 NBI;Cifras absolutas 4 NBI;Cifras absolutas 5 NBI;conteo;Indice;Ubigeo;Departamento_pobrz;Provincia_pobrez;Distrito_pobrez;Poblacion_proyectada2020;Intervalo_inferior;Intervalo_superior;Grupo_robusto;Ubicacion_pobreza_monetaria
CUSCO;PARURO;ACCHA;998;217;175;36;6;0;0;1;511;81002;CUSCO;PARURO;ACCHA;3125;32;59;8;511
CUSCO;ACOMAYO;ACOMAYO;1291;315;242;58;15;0;0;1;644;80201;CUSCO;ACOMAYO;ACOMAYO;4616;30,1;54;9;644
CUSCO;ACOMAYO;ACOPIA;809;203;175;26;2;0;0;1;896;80202;CUSCO;ACOMAYO;ACOPIA;3048;24,7;46,1;10;896
CUSCO;ACOMAYO;ACOS;717;153;126;24;3;0;0;1;872;80203;CUSCO;ACOMAYO;ACOS;2350;24,7;47,6;10;872
CUSCO;ESPINAR;ALTO PICHIGUA;733;167;137;28;2;0;0;1;938;80808;CUSCO;ESPINAR;ALTO PICHIGUA;1981;23,8;44,8;11;938
CUSCO;ANTA;ANCAHUASI;2034;604;517;77;8;2;0;1;876;80302;CUSCO;ANTA;ANCAHUASI;7784;21,5;50,7;10;876
CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;1598;460;392;57;11;0;0;1;1090;81202;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;6938;18,9;40,9;12;1090
CUSCO;ANTA;ANTA;6240;1376;1202;154;19;1;0;1;1232;80301;CUSCO;ANTA;ANTA;25464;15,8;35,5;14;1232
CUSCO;ANTA;CACHIMAYO;661;103;94;6;3;0;0;1;1708;80303;CUSCO;ANTA;CACHIMAYO;2742;5;16,9;19;1708
CUSCO;PAUCARTAMBO;CAICAY;732;285;204;68;13;0;0;1;374;81102;CUSCO;PAUCARTAMBO;CAICAY;3050;37;62,2;7;374
CUSCO;CALCA;CALCA;5975;1261;964;242;37;16;2;1;1298;80401;CUSCO;CALCA;CALCA;23423;15,8;32,5;14;1298
CUSCO;QUISPICANCHI;CAMANTI;596;252;176;63;9;4;0;1;1587;81203;CUSCO;QUISPICANCHI;CAMANTI;2603;6,5;23,7;16;1587
CUSCO;CHUMBIVILCAS;CAPACMARCA;1263;365;307;51;7;0;0;1;527;80702;CUSCO;CHUMBIVILCAS;CAPACMARCA;4119;30,3;60,1;8;527
CUSCO;PARURO;CCAPI;997;317;282;30;4;1;0;1;752;81003;CUSCO;PARURO;CCAPI;3121;28,6;49,7;10;752
CUSCO;QUISPICANCHI;CCARHUAYO;810;389;290;80;19;0;0;1;311;81204;CUSCO;QUISPICANCHI;CCARHUAYO;3156;38,4;65;7;311
CUSCO;QUISPICANCHI;CCATCA;3561;1497;1161;278;52;6;0;1;104;81205;CUSCO;QUISPICANCHI;CCATCA;15084;48,6;74,1;5;104
CUSCO;CUSCO;CCORCA;739;191;157;31;3;0;0;1;741;80102;CUSCO;CUSCO;CCORCA;2405;24,6;54,2;10;741
CUSCO;PAUCARTAMBO;CHALLABAMBA;2519;1306;817;391;75;21;2;1;314;81103;CUSCO;PAUCARTAMBO;CHALLABAMBA;9421;37,5;65,8;7;314
CUSCO;CHUMBIVILCAS;CHAMACA;2041;570;503;61;5;1;0;1;391;80703;CUSCO;CHUMBIVILCAS;CHAMACA;6503;35,4;62,5;7;391
CUSCO;CANCHIS;CHECACUPE;1544;498;365;119;11;3;0;1;699;80602;CUSCO;CANCHIS;CHECACUPE;5217;26,8;53,8;9;699
CUSCO;CANAS;CHECCA;1737;770;676;82;12;0;0;1;179;80502;CUSCO;CANAS;CHECCA;5485;42,3;69,4;6;179
CUSCO;ANTA;CHINCHAYPUJIO;1282;637;532;84;19;2;0;1;455;80304;CUSCO;ANTA;CHINCHAYPUJIO;4333;34,4;59,8;8;455
CUSCO;URUBAMBA;CHINCHERO;2927;442;412;28;2;0;0;1;1281;81302;CUSCO;URUBAMBA;CHINCHERO;12298;15,4;33,3;14;1281
CUSCO;PARURO;COLCHA;398;48;41;6;1;0;0;1;1075;81004;CUSCO;PARURO;COLCHA;948;22,9;37,7;12;1075
CUSCO;CHUMBIVILCAS;COLQUEMARCA;2343;733;590;133;10;0;0;1;385;80704;CUSCO;CHUMBIVILCAS;COLQUEMARCA;7110;34,8;63,5;7;385
CUSCO;PAUCARTAMBO;COLQUEPATA;2325;873;732;131;10;0;0;1;328;81104;CUSCO;PAUCARTAMBO;COLQUEPATA;8915;38,3;64,2;7;328
CUSCO;CANCHIS;COMBAPATA;1442;333;288;43;2;0;0;1;967;80603;CUSCO;CANCHIS;COMBAPATA;5026;21,7;45,1;11;967
CUSCO;ESPINAR;CONDOROMA;350;182;119;59;4;0;0;1;1301;80802;CUSCO;ESPINAR;CONDOROMA;872;12,3;35,6;14;1301
CUSCO;ESPINAR;COPORAQUE;3650;755;634;111;10;0;0;1;653;80803;CUSCO;ESPINAR;COPORAQUE;9824;26;57,2;9;653
